place_id,الاسم المفضل,الأنواع,الدولة الحديثة,الفترات (نص v4.9),المكان الأب,حالة v4.9,المصدر
PLC-001,قرطبة,مدينة; عاصمة,إسبانيا,الإمارة؛ الخلافة؛ ما بعدها,,متحقق رسميًا,https://whc.unesco.org/en/list/313
PLC-002,مدينة الزهراء,مدينة; موقع أثري,إسبانيا,القرن 10–11م,PLC-001,متحقق رسميًا,https://whc.unesco.org/en/list/1560
PLC-003,غرناطة,مدينة; عاصمة,إسبانيا,الزيريون؛ النصريون؛ ما بعد 1492,,متحقق رسميًا,https://whc.unesco.org/en/list/314
PLC-004,إشبيلية,مدينة; عاصمة; ميناء نهري,إسبانيا,أموي؛ طوائف؛ مرابطون؛ موحدون,,يحتاج توثيق تفصيلي,
PLC-005,طليطلة,مدينة; عاصمة,إسبانيا,أموي؛ طوائف؛ بعد 1085,,يحتاج توثيق تفصيلي,
PLC-006,سرقسطة,مدينة; عاصمة; ثغر,إسبانيا,الثغر الأعلى؛ الطوائف,,متحقق جزئيًا,https://patrimonioculturaldearagon.es/
PLC-007,ألمرية,مدينة; ميناء,إسبانيا,أموي متأخر؛ طوائف؛ مرابطون؛ موحدون,,قوي بحثيًا؛ يحتاج سجل مصادر مباشر,
PLC-008,دانية,مدينة; ميناء; عاصمة,إسبانيا,الطوائف وما حولها,,يحتاج توثيق تفصيلي,
PLC-009,بلنسية,مدينة; عاصمة,إسبانيا,أموي؛ طوائف؛ مرابطون,,يحتاج توثيق تفصيلي,
PLC-010,مالقة,مدينة; ميناء,إسبانيا,متعدد,,يحتاج توثيق تفصيلي,
PLC-011,مرسية,مدينة; إقليم,إسبانيا,أموي متأخر؛ طوائف؛ مرابطون؛ موحدون,,يحتاج توثيق تفصيلي,
PLC-012,بطليوس,مدينة; عاصمة,إسبانيا,طوائف؛ غرب الأندلس,,يحتاج توثيق تفصيلي,
PLC-013,مرتلة,مدينة; موقع أثري,البرتغال,غرب الأندلس؛ مرابطون؛ موحدون,,متحقق من المركز الأثري,https://camertola.pt/en
PLC-014,شلب,مدينة,البرتغال,غرب الأندلس؛ طوائف وما بعدها,,يحتاج توثيق تفصيلي,
PLC-015,لشبونة,مدينة; ميناء,البرتغال,غرب الأندلس حتى القرن 12م,,يحتاج توثيق تفصيلي,
PLC-016,شنترين,مدينة; حصن,البرتغال,غرب الأندلس,,يحتاج توثيق تفصيلي,
PLC-017,باجة,مدينة; إقليم,البرتغال,غرب الأندلس,,يحتاج توثيق تفصيلي,
PLC-018,ماردة,مدينة,إسبانيا,الأندلس المبكرة,,يحتاج توثيق تفصيلي,
PLC-019,وشقة,مدينة; ثغر,إسبانيا,الثغر الأعلى,,يحتاج توثيق تفصيلي,
PLC-020,طرطوشة,مدينة; ثغر; ميناء نهري,إسبانيا,الثغر الأعلى/الشرقي,,يحتاج توثيق تفصيلي,
PLC-C01,البيازين,حي حضري,إسبانيا,النصريون وما بعدهم,PLC-003,متحقق كبوابة؛ التفاصيل لاحقًا,EEA research guide / UNESCO
PLC-C02,حدرّه (دارّو),نهر,إسبانيا,متعدد,PLC-003,مرشح ربط,UNESCO/Alhambra
PLC-C03,قصر الجعفرية,قصر,إسبانيا,الطوائف,PLC-006,متحقق سابقًا,Patrimonio Cultural Aragón
PLC-C04,رندة,مدينة,إسبانيا,متعدد,,مرشح Gazetteer,EEA Library 2026 holding
PLC-C05,الجزيرة الخضراء,مدينة; ميناء,إسبانيا,متعدد,,يحتاج مصدر مكاني مباشر,BdA/person records
PLC-C06,وادي آش,مدينة,إسبانيا,متعدد,,يحتاج مصدر مكاني مباشر,مصادر التراجم
PLC-D01,وادي الحجارة,مدينة; إقليم,إسبانيا,الثغر الأوسط تاريخيًا,,مرشح,دراسة EEA + مصادر لاحقة
PLC-D02,Priego de Córdoba (موقع كنز),موقع أثري,إسبانيا,موحدي (كنز نقدي),,متحقق كسياق الكنز,MAN
PLC-D03,الزاهرة,مجمع سلطوي; مدينة,إسبانيا,العامريون,PLC-001,مرشح مهم,المصادر (الرابط السابق مختطف)
PLC-D04,مُنية السرور,مُنية,إسبانيا,سياق الزاهرة والمنصور,PLC-D03,موثق نصيًا,نص أبي المغيرة ابن حزم (الرابط السابق مختطف)
PLC-G01,الحمراء,قصر; مدينة,إسبانيا,غرناطة النصرية وما بعدها,PLC-003,جديد v5.3,https://whc.unesco.org/en/list/314
PLC-G02,جنة العريف,قصر,إسبانيا,غرناطة النصرية,PLC-003,جديد v5.3,https://whc.unesco.org/en/list/314
PLC-G03,بسطة,مدينة,إسبانيا,غرناطة النصرية,,جديد v5.3,
PLC-G04,لوشة,مدينة; حصن,إسبانيا,غرناطة النصرية,,جديد v5.3,
PLC-G05,المنكب,مدينة; ميناء,إسبانيا,غرناطة النصرية,,جديد v5.3,
PLC-G06,البشرات,إقليم,إسبانيا,غرناطة النصرية؛ الموريسكيون,,جديد v5.3,
