period_id,التسمية,Label,البداية (أبكر),البداية (أقصى),النهاية (أبكر),النهاية (أقصى),الهجري,النطاق المكاني,ملاحظة التعريف,الأب,المصدر المرشح,حالة التحقق
PRD-01,الفتح وعصر الولاة,Conquest and Governors,711,711,756,756,92–138هـ,الأندلس,البداية بعبور 711؛ النهاية بقيام الإمارة الأموية.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-02,الإمارة الأموية,Umayyad Emirate,756,756,929,929,138–316هـ,الأندلس,= POL-001.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-03,الخلافة الأموية,Umayyad Caliphate,929,929,1009,1031,316–399/422هـ,الأندلس,تعريفان للنهاية: 1009 (بداية الفتنة) أو 1031 (إلغاء الخلافة رسميًا). = POL-002 (929–1031).,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-03a,الفتنة,Fitna of al-Andalus,1009,1009,1031,1031,399–422هـ,الأندلس,مرحلة فرعية داخل PRD-03 أو انتقالية إلى الطوائف بحسب التعريف المختار.,PRD-03,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-04,ملوك الطوائف الأولى,First Taifa Period,1009,1031,1086,1091,5هـ,الأندلس,البداية تتداخل مع الفتنة؛ النهاية بين الزلاقة 1086 وخلع ملوك الطوائف 1090–1091.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-05,المرابطون في الأندلس,Almoravid al-Andalus,1086,1091,1145,1147,479/484–540/542هـ,الأندلس,= POL-006. نهاية مرنة مع الطوائف الثانية.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-05a,الطوائف الثانية,Second Taifa Period,1144,1145,1147,1172,539–568هـ تقريبًا,الأندلس,تتفاوت نهايتها بحسب الإقليم (مثل مرسية ابن مردنيش حتى 1172).,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-06,الموحدون في الأندلس,Almohad al-Andalus,1147,1147,1228,1232,541–625/629هـ,الأندلس,= POL-007. تعريف النهاية: الانسحاب من الأندلس أو قيام ابن هود.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-06a,الطوائف الثالثة والانتقال,Third Taifas / transition,1228,1228,1238,1248,625–646هـ,الأندلس,ابن هود وسقوط قرطبة 1236 وإشبيلية 1248.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-07,غرناطة النصرية,Nasrid Granada,1232,1238,1492,1492,629/635–897هـ,مملكة غرناطة,= POL-008. البداية: إعلان ابن الأحمر 1232 أو دخول غرناطة 1238.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
PRD-08,المدجنون والموريسكيون,Mudejars and Moriscos,1492,1502,1609,1614,897–1023هـ,إيبيريا المسيحية,من سقوط غرناطة/التنصير القسري حتى الطرد.,,SRC-010 (Kennedy)؛ LIB-BK-001 (Routledge Handbook),حدود مستقرة في المراجع العامة؛ لم يُفحص موضع الصفحة
